utt_id,audio_path,label,fold,family,source,inst_id,pitch,velocity
bass_synthetic_065-020-127,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_065-020-127.wav,bass,3,bass,synthetic,65,20,127
bass_synthetic_061-070-025,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_061-070-025.wav,bass,1,bass,synthetic,61,70,25
bass_synthetic_069-096-100,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_069-096-100.wav,bass,1,bass,synthetic,69,96,100
bass_synthetic_007-022-075,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_007-022-075.wav,bass,2,bass,synthetic,7,22,75
bass_synthetic_020-054-025,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_020-054-025.wav,bass,1,bass,synthetic,20,54,25
bass_synthetic_040-093-127,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_040-093-127.wav,bass,5,bass,synthetic,40,93,127
bass_synthetic_039-019-025,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_039-019-025.wav,bass,4,bass,synthetic,39,19,25
bass_synthetic_043-055-075,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_043-055-075.wav,bass,3,bass,synthetic,43,55,75
bass_synthetic_116-030-025,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_116-030-025.wav,bass,4,bass,synthetic,116,30,25
bass_synthetic_074-034-050,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_074-034-050.wav,bass,5,bass,synthetic,74,34,50
bass_electronic_011-042-075,/mnt/tmp/datasets/music/nsynth/train_30k/bass_electronic_011-042-075.wav,bass,3,bass,electronic,11,42,75
bass_synthetic_003-027-025,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_003-027-025.wav,bass,2,bass,synthetic,3,27,25
bass_synthetic_102-038-127,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_102-038-127.wav,bass,2,bass,synthetic,102,38,127
bass_synthetic_115-100-100,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_115-100-100.wav,bass,3,bass,synthetic,115,100,100
bass_synthetic_137-075-025,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_137-075-025.wav,bass,2,bass,synthetic,137,75,25
bass_synthetic_110-027-100,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_110-027-100.wav,bass,5,bass,synthetic,110,27,100
bass_synthetic_070-047-050,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_070-047-050.wav,bass,4,bass,synthetic,70,47,50
bass_electronic_028-043-100,/mnt/tmp/datasets/music/nsynth/train_30k/bass_electronic_028-043-100.wav,bass,3,bass,electronic,28,43,100
bass_synthetic_046-097-127,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_046-097-127.wav,bass,4,bass,synthetic,46,97,127
bass_synthetic_123-070-050,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_123-070-050.wav,bass,2,bass,synthetic,123,70,50
bass_synthetic_152-052-127,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_152-052-127.wav,bass,3,bass,synthetic,152,52,127
bass_synthetic_107-092-127,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_107-092-127.wav,bass,3,bass,synthetic,107,92,127
bass_synthetic_044-041-127,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_044-041-127.wav,bass,3,bass,synthetic,44,41,127
bass_synthetic_074-034-127,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_074-034-127.wav,bass,4,bass,synthetic,74,34,127
bass_electronic_038-059-127,/mnt/tmp/datasets/music/nsynth/train_30k/bass_electronic_038-059-127.wav,bass,4,bass,electronic,38,59,127
bass_synthetic_090-032-075,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_090-032-075.wav,bass,5,bass,synthetic,90,32,75
bass_synthetic_093-050-127,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_093-050-127.wav,bass,5,bass,synthetic,93,50,127
bass_synthetic_143-078-075,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_143-078-075.wav,bass,5,bass,synthetic,143,78,75
bass_electronic_029-042-050,/mnt/tmp/datasets/music/nsynth/train_30k/bass_electronic_029-042-050.wav,bass,5,bass,electronic,29,42,50
bass_synthetic_111-045-075,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_111-045-075.wav,bass,1,bass,synthetic,111,45,75
bass_synthetic_032-027-025,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_032-027-025.wav,bass,5,bass,synthetic,32,27,25
bass_electronic_032-047-050,/mnt/tmp/datasets/music/nsynth/train_30k/bass_electronic_032-047-050.wav,bass,3,bass,electronic,32,47,50
bass_synthetic_127-046-075,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_127-046-075.wav,bass,2,bass,synthetic,127,46,75
bass_synthetic_040-056-050,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_040-056-050.wav,bass,5,bass,synthetic,40,56,50
bass_synthetic_056-080-075,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_056-080-075.wav,bass,4,bass,synthetic,56,80,75
bass_synthetic_130-040-127,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_130-040-127.wav,bass,4,bass,synthetic,130,40,127
bass_synthetic_130-068-100,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_130-068-100.wav,bass,5,bass,synthetic,130,68,100
bass_synthetic_123-099-075,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_123-099-075.wav,bass,4,bass,synthetic,123,99,75
bass_synthetic_029-051-050,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_029-051-050.wav,bass,4,bass,synthetic,29,51,50
bass_synthetic_127-100-127,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_127-100-127.wav,bass,4,bass,synthetic,127,100,127
bass_synthetic_000-104-025,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_000-104-025.wav,bass,2,bass,synthetic,0,104,25
bass_electronic_004-027-100,/mnt/tmp/datasets/music/nsynth/train_30k/bass_electronic_004-027-100.wav,bass,4,bass,electronic,4,27,100
bass_synthetic_089-024-025,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_089-024-025.wav,bass,5,bass,synthetic,89,24,25
bass_synthetic_080-083-127,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_080-083-127.wav,bass,1,bass,synthetic,80,83,127
bass_synthetic_044-094-100,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_044-094-100.wav,bass,1,bass,synthetic,44,94,100
bass_synthetic_002-038-050,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_002-038-050.wav,bass,4,bass,synthetic,2,38,50
bass_synthetic_066-089-100,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_066-089-100.wav,bass,2,bass,synthetic,66,89,100
bass_synthetic_014-036-100,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_014-036-100.wav,bass,1,bass,synthetic,14,36,100
bass_synthetic_032-099-025,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_032-099-025.wav,bass,3,bass,synthetic,32,99,25
bass_synthetic_074-072-050,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_074-072-050.wav,bass,5,bass,synthetic,74,72,50
bass_synthetic_078-031-025,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_078-031-025.wav,bass,3,bass,synthetic,78,31,25
bass_synthetic_006-061-025,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_006-061-025.wav,bass,2,bass,synthetic,6,61,25
bass_electronic_038-053-050,/mnt/tmp/datasets/music/nsynth/train_30k/bass_electronic_038-053-050.wav,bass,2,bass,electronic,38,53,50
bass_synthetic_014-017-050,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_014-017-050.wav,bass,1,bass,synthetic,14,17,50
bass_synthetic_139-043-025,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_139-043-025.wav,bass,2,bass,synthetic,139,43,25
bass_synthetic_109-068-050,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_109-068-050.wav,bass,1,bass,synthetic,109,68,50
bass_synthetic_040-043-100,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_040-043-100.wav,bass,4,bass,synthetic,40,43,100
bass_synthetic_086-059-075,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_086-059-075.wav,bass,1,bass,synthetic,86,59,75
bass_synthetic_022-037-127,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_022-037-127.wav,bass,1,bass,synthetic,22,37,127
bass_synthetic_117-088-025,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_117-088-025.wav,bass,2,bass,synthetic,117,88,25
bass_electronic_008-060-075,/mnt/tmp/datasets/music/nsynth/train_30k/bass_electronic_008-060-075.wav,bass,3,bass,electronic,8,60,75
bass_synthetic_042-106-100,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_042-106-100.wav,bass,5,bass,synthetic,42,106,100
bass_synthetic_051-078-025,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_051-078-025.wav,bass,5,bass,synthetic,51,78,25
bass_synthetic_131-068-025,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_131-068-025.wav,bass,1,bass,synthetic,131,68,25
bass_electronic_021-039-075,/mnt/tmp/datasets/music/nsynth/train_30k/bass_electronic_021-039-075.wav,bass,4,bass,electronic,21,39,75
bass_synthetic_086-026-100,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_086-026-100.wav,bass,2,bass,synthetic,86,26,100
bass_synthetic_031-023-100,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_031-023-100.wav,bass,4,bass,synthetic,31,23,100
bass_synthetic_114-014-127,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_114-014-127.wav,bass,5,bass,synthetic,114,14,127
bass_synthetic_062-071-025,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_062-071-025.wav,bass,4,bass,synthetic,62,71,25
bass_synthetic_061-021-127,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_061-021-127.wav,bass,4,bass,synthetic,61,21,127
bass_synthetic_100-067-025,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_100-067-025.wav,bass,3,bass,synthetic,100,67,25
bass_electronic_008-027-127,/mnt/tmp/datasets/music/nsynth/train_30k/bass_electronic_008-027-127.wav,bass,1,bass,electronic,8,27,127
bass_synthetic_099-075-050,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_099-075-050.wav,bass,5,bass,synthetic,99,75,50
bass_synthetic_012-089-075,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_012-089-075.wav,bass,3,bass,synthetic,12,89,75
bass_electronic_028-054-050,/mnt/tmp/datasets/music/nsynth/train_30k/bass_electronic_028-054-050.wav,bass,2,bass,electronic,28,54,50
bass_synthetic_147-046-127,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_147-046-127.wav,bass,5,bass,synthetic,147,46,127
bass_synthetic_038-056-075,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_038-056-075.wav,bass,3,bass,synthetic,38,56,75
bass_synthetic_074-049-100,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_074-049-100.wav,bass,2,bass,synthetic,74,49,100
bass_synthetic_035-060-050,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_035-060-050.wav,bass,2,bass,synthetic,35,60,50
bass_electronic_039-044-075,/mnt/tmp/datasets/music/nsynth/train_30k/bass_electronic_039-044-075.wav,bass,4,bass,electronic,39,44,75
bass_synthetic_032-066-025,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_032-066-025.wav,bass,2,bass,synthetic,32,66,25
bass_synthetic_085-025-100,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_085-025-100.wav,bass,1,bass,synthetic,85,25,100
bass_synthetic_108-049-127,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_108-049-127.wav,bass,5,bass,synthetic,108,49,127
bass_synthetic_024-103-100,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_024-103-100.wav,bass,1,bass,synthetic,24,103,100
bass_synthetic_137-024-050,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_137-024-050.wav,bass,3,bass,synthetic,137,24,50
bass_synthetic_029-091-050,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_029-091-050.wav,bass,3,bass,synthetic,29,91,50
bass_synthetic_137-095-100,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_137-095-100.wav,bass,1,bass,synthetic,137,95,100
bass_electronic_002-050-100,/mnt/tmp/datasets/music/nsynth/train_30k/bass_electronic_002-050-100.wav,bass,5,bass,electronic,2,50,100
bass_electronic_035-053-127,/mnt/tmp/datasets/music/nsynth/train_30k/bass_electronic_035-053-127.wav,bass,2,bass,electronic,35,53,127
bass_synthetic_058-092-127,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_058-092-127.wav,bass,1,bass,synthetic,58,92,127
bass_electronic_021-023-075,/mnt/tmp/datasets/music/nsynth/train_30k/bass_electronic_021-023-075.wav,bass,1,bass,electronic,21,23,75
bass_synthetic_116-089-025,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_116-089-025.wav,bass,5,bass,synthetic,116,89,25
bass_synthetic_129-097-127,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_129-097-127.wav,bass,5,bass,synthetic,129,97,127
bass_synthetic_110-074-050,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_110-074-050.wav,bass,3,bass,synthetic,110,74,50
bass_synthetic_084-035-050,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_084-035-050.wav,bass,3,bass,synthetic,84,35,50
bass_synthetic_067-071-075,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_067-071-075.wav,bass,4,bass,synthetic,67,71,75
bass_synthetic_140-098-100,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_140-098-100.wav,bass,1,bass,synthetic,140,98,100
bass_synthetic_091-049-050,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_091-049-050.wav,bass,5,bass,synthetic,91,49,50
bass_synthetic_035-103-127,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_035-103-127.wav,bass,2,bass,synthetic,35,103,127
bass_synthetic_048-056-050,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_048-056-050.wav,bass,5,bass,synthetic,48,56,50
bass_synthetic_010-077-075,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_010-077-075.wav,bass,4,bass,synthetic,10,77,75
bass_synthetic_080-046-100,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_080-046-100.wav,bass,2,bass,synthetic,80,46,100
bass_electronic_030-024-127,/mnt/tmp/datasets/music/nsynth/train_30k/bass_electronic_030-024-127.wav,bass,5,bass,electronic,30,24,127
bass_synthetic_053-038-025,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_053-038-025.wav,bass,3,bass,synthetic,53,38,25
bass_synthetic_088-104-127,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_088-104-127.wav,bass,2,bass,synthetic,88,104,127
bass_synthetic_088-021-127,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_088-021-127.wav,bass,3,bass,synthetic,88,21,127
bass_synthetic_057-101-100,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_057-101-100.wav,bass,2,bass,synthetic,57,101,100
bass_electronic_016-058-100,/mnt/tmp/datasets/music/nsynth/train_30k/bass_electronic_016-058-100.wav,bass,3,bass,electronic,16,58,100
bass_synthetic_020-024-025,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_020-024-025.wav,bass,2,bass,synthetic,20,24,25
bass_electronic_038-023-127,/mnt/tmp/datasets/music/nsynth/train_30k/bass_electronic_038-023-127.wav,bass,3,bass,electronic,38,23,127
bass_synthetic_104-042-127,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_104-042-127.wav,bass,4,bass,synthetic,104,42,127
bass_synthetic_040-081-050,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_040-081-050.wav,bass,3,bass,synthetic,40,81,50
bass_synthetic_019-042-100,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_019-042-100.wav,bass,1,bass,synthetic,19,42,100
bass_synthetic_116-104-050,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_116-104-050.wav,bass,5,bass,synthetic,116,104,50
bass_synthetic_045-052-050,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_045-052-050.wav,bass,1,bass,synthetic,45,52,50
bass_synthetic_031-063-075,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_031-063-075.wav,bass,5,bass,synthetic,31,63,75
bass_synthetic_117-087-050,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_117-087-050.wav,bass,3,bass,synthetic,117,87,50
bass_electronic_039-061-025,/mnt/tmp/datasets/music/nsynth/train_30k/bass_electronic_039-061-025.wav,bass,3,bass,electronic,39,61,25
bass_synthetic_097-064-127,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_097-064-127.wav,bass,3,bass,synthetic,97,64,127
bass_synthetic_114-083-050,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_114-083-050.wav,bass,3,bass,synthetic,114,83,50
bass_synthetic_080-035-127,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_080-035-127.wav,bass,4,bass,synthetic,80,35,127
bass_acoustic_000-025-075,/mnt/tmp/datasets/music/nsynth/train_30k/bass_acoustic_000-025-075.wav,bass,2,bass,acoustic,0,25,75
bass_synthetic_047-034-127,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_047-034-127.wav,bass,5,bass,synthetic,47,34,127
bass_synthetic_002-041-025,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_002-041-025.wav,bass,2,bass,synthetic,2,41,25
bass_synthetic_055-066-100,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_055-066-100.wav,bass,2,bass,synthetic,55,66,100
bass_synthetic_015-070-025,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_015-070-025.wav,bass,1,bass,synthetic,15,70,25
bass_synthetic_141-075-100,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_141-075-100.wav,bass,1,bass,synthetic,141,75,100
bass_electronic_037-023-025,/mnt/tmp/datasets/music/nsynth/train_30k/bass_electronic_037-023-025.wav,bass,3,bass,electronic,37,23,25
bass_synthetic_126-052-075,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_126-052-075.wav,bass,1,bass,synthetic,126,52,75
bass_synthetic_070-036-100,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_070-036-100.wav,bass,1,bass,synthetic,70,36,100
bass_synthetic_081-081-025,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_081-081-025.wav,bass,2,bass,synthetic,81,81,25
bass_synthetic_001-041-075,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_001-041-075.wav,bass,5,bass,synthetic,1,41,75
bass_synthetic_095-024-100,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_095-024-100.wav,bass,3,bass,synthetic,95,24,100
bass_synthetic_048-089-127,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_048-089-127.wav,bass,2,bass,synthetic,48,89,127
bass_synthetic_053-070-075,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_053-070-075.wav,bass,4,bass,synthetic,53,70,75
bass_electronic_000-050-075,/mnt/tmp/datasets/music/nsynth/train_30k/bass_electronic_000-050-075.wav,bass,1,bass,electronic,0,50,75
bass_synthetic_021-076-075,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_021-076-075.wav,bass,4,bass,synthetic,21,76,75
bass_synthetic_055-063-100,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_055-063-100.wav,bass,5,bass,synthetic,55,63,100
bass_synthetic_027-038-075,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_027-038-075.wav,bass,1,bass,synthetic,27,38,75
bass_synthetic_103-062-075,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_103-062-075.wav,bass,5,bass,synthetic,103,62,75
bass_synthetic_099-094-075,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_099-094-075.wav,bass,2,bass,synthetic,99,94,75
bass_electronic_037-029-050,/mnt/tmp/datasets/music/nsynth/train_30k/bass_electronic_037-029-050.wav,bass,2,bass,electronic,37,29,50
bass_synthetic_024-053-025,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_024-053-025.wav,bass,3,bass,synthetic,24,53,25
bass_electronic_004-050-050,/mnt/tmp/datasets/music/nsynth/train_30k/bass_electronic_004-050-050.wav,bass,3,bass,electronic,4,50,50
bass_synthetic_038-062-025,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_038-062-025.wav,bass,1,bass,synthetic,38,62,25
bass_synthetic_138-046-025,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_138-046-025.wav,bass,1,bass,synthetic,138,46,25
bass_synthetic_031-092-050,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_031-092-050.wav,bass,2,bass,synthetic,31,92,50
bass_synthetic_036-087-075,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_036-087-075.wav,bass,4,bass,synthetic,36,87,75
bass_synthetic_087-038-100,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_087-038-100.wav,bass,1,bass,synthetic,87,38,100
bass_synthetic_038-065-075,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_038-065-075.wav,bass,1,bass,synthetic,38,65,75
bass_synthetic_031-097-050,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_031-097-050.wav,bass,5,bass,synthetic,31,97,50
bass_synthetic_032-093-050,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_032-093-050.wav,bass,2,bass,synthetic,32,93,50
bass_synthetic_002-041-050,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_002-041-050.wav,bass,4,bass,synthetic,2,41,50
bass_synthetic_087-080-075,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_087-080-075.wav,bass,3,bass,synthetic,87,80,75
bass_synthetic_063-073-025,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_063-073-025.wav,bass,4,bass,synthetic,63,73,25
bass_synthetic_053-056-025,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_053-056-025.wav,bass,3,bass,synthetic,53,56,25
bass_electronic_020-060-075,/mnt/tmp/datasets/music/nsynth/train_30k/bass_electronic_020-060-075.wav,bass,3,bass,electronic,20,60,75
bass_synthetic_124-080-127,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_124-080-127.wav,bass,3,bass,synthetic,124,80,127
bass_synthetic_041-103-100,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_041-103-100.wav,bass,3,bass,synthetic,41,103,100
bass_synthetic_035-032-127,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_035-032-127.wav,bass,1,bass,synthetic,35,32,127
bass_synthetic_140-093-025,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_140-093-025.wav,bass,3,bass,synthetic,140,93,25
bass_synthetic_017-072-025,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_017-072-025.wav,bass,4,bass,synthetic,17,72,25
bass_synthetic_048-060-127,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_048-060-127.wav,bass,5,bass,synthetic,48,60,127
bass_synthetic_086-043-050,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_086-043-050.wav,bass,3,bass,synthetic,86,43,50
bass_synthetic_072-040-100,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_072-040-100.wav,bass,1,bass,synthetic,72,40,100
bass_synthetic_080-065-025,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_080-065-025.wav,bass,3,bass,synthetic,80,65,25
bass_synthetic_039-057-050,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_039-057-050.wav,bass,3,bass,synthetic,39,57,50
bass_electronic_039-051-075,/mnt/tmp/datasets/music/nsynth/train_30k/bass_electronic_039-051-075.wav,bass,5,bass,electronic,39,51,75
bass_synthetic_092-049-075,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_092-049-075.wav,bass,2,bass,synthetic,92,49,75
bass_synthetic_073-057-127,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_073-057-127.wav,bass,4,bass,synthetic,73,57,127
bass_synthetic_145-033-050,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_145-033-050.wav,bass,2,bass,synthetic,145,33,50
bass_synthetic_001-069-127,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_001-069-127.wav,bass,1,bass,synthetic,1,69,127
